0.2 4.000000000000001e-07 -0.08399960000000001
14.2 0.1431644 -5.8208356
28.2 1.1212884 -10.7227116
42.2 3.7575724000000013 -13.9664276
56.2 8.875216400000003 -14.728783599999996
70.2 17.297420400000004 -12.186579599999998
84.2 29.847384400000006 -5.516615599999991
98.2 47.34830840000001 6.104308400000008
112.2 70.6233924 23.499392399999998
126.2 100.49583640000002 47.49183640000002
140.2 137.78884039999997 78.90484039999998
154.2 183.32560439999997 118.56160439999998
168.2 237.92932839999997 167.28532839999997
182.2 302.42321239999995 225.89921239999995
196.2 377.63045639999996 295.22645639999996
210.2 464.37426039999997 376.0902604
224.2 563.4778243999999 469.31382439999993
238.2 675.7643483999999 575.7203483999999
252.2 802.0570323999999 696.1330323999999
266.2 943.1790763999999 831.3750763999999
280.2 1099.9536804 982.2696804
294.2 1273.2040444 1149.6400443999999
308.2 1463.7533684 1334.3093684
322.2 1672.4248524 1537.1008524
336.2 1900.0416963999999 1758.8376964
350.2 2147.4271003999997 2000.3431003999997
364.2 2415.4042643999996 2262.4402643999997
378.2 2704.7963883999996 2545.9523883999996
392.2 3016.4266724 2851.7026723999998
406.2 3351.1183164 3180.5143164
420.2 3709.6945204 3533.2105204
434.2 4092.9784844 3910.6144844
448.2 4501.7934084 4313.5494084
462.2 4936.9624924 4742.8384924
476.2 5399.3089364 5199.3049364
490.2 5889.6559404 5683.7719404
